,cuisine,ingredient,name
10,chinese,"['1 egg', '1 tablespoon water', '1 tablespoon butter', '1 tablespoon vegetable oil', '1 onion, chopped', '2 cups cooked white rice, cold', '2 tablespoons soy sauce', '1 teaspoon ground black pepper', '1 cup cooked, chopped chicken meat']",Chinese Chicken Fried Rice II
11,chinese,"['1 pound skinless, boneless chicken breast halves - cut into chunks', '2 tablespoons white wine', '2 tablespoons soy sauce', '2 tablespoons sesame oil, divided', '2 tablespoons cornstarch, dissolved in 2 tablespoons water', '1 ounce hot chile paste', '1 teaspoon distilled white vinegar', '2 teaspoons brown sugar', '4 green onions, chopped', '1 tablespoon chopped garlic', '1 (8 ounce) can water chestnuts', '4 ounces chopped peanuts']",Kung Pao Chicken
12,chinese,"['3 tablespoons soy sauce', '2 tablespoons rice wine', '1 tablespoon brown sugar', '1/2 teaspoon cornstarch', '1 tablespoon vegetable oil', '1 tablespoon minced fresh ginger root', '1 tablespoon minced garlic', '1 pound beef round steak, cut into thin strips', '8 ounces snow peas']",Asian Beef with Snow Peas
13,chinese,"['1 1/2 pounds beef top sirloin, thinly sliced', '1/3 cup white sugar', '1/3 cup rice wine vinegar', '2 tablespoons frozen orange juice concentrate', '1 teaspoon salt', '1 tablespoon soy sauce', '1 cup long grain rice', '2 cups water', '1/4 cup cornstarch', '2 teaspoons orange zest', '3 tablespoons grated fresh ginger', '1 1/2 tablespoons minced garlic', '8 broccoli florets, lightly steamed or blanched', '2 cups oil for frying']",Crispy Orange Beef
14,chinese,"['4 cups vegetable oil for frying', '1 egg', '1 1/2 pounds boneless, skinless chicken thighs, cut into 1/2 inch cubes', '1 teaspoon salt', '1 teaspoon white sugar', '1 pinch white pepper', '1 cup cornstarch', '2 tablespoons vegetable oil', '3 tablespoons chopped green onion', '1 clove garlic, minced', '6 dried whole red chilies', '1 strip orange zest', '1/2 cup white sugar', '1/4 teaspoon ground ginger', '3 tablespoons chicken broth', '1 tablespoon rice vinegar', '1/4 cup soy sauce', '2 teaspoons sesame oil', '2 tablespoons peanut oil', '2 teaspoons cornstarch', '1/4 cup water']",General Tsao's Chicken II
15,chinese,"['1 pound pork butt, cut into 1 inch cubes', '1 teaspoon salt', '1/4 teaspoon white sugar', '1 teaspoon soy sauce', '1 egg white', '2 green onions, chopped', '1 quart vegetable oil for frying', '1/2 cup cornstarch', '1 tablespoon vegetable oil', '3 stalks celery, cut into 1/2 inch pieces', '1 medium green bell pepper, cut into 1 inch pieces', '1 medium onion, cut into wedges', 'white sugar to taste', 'salt to taste', '1 cup water', '1/4 teaspoon salt', '3/4 cup white sugar', '1/3 cup apple cider vinegar', '1/4 cup ketchup', '1/2 teaspoon soy sauce', '1 (8 ounce) can pineapple chunks, undrained', '2 tablespoons cornstarch', '1/4 cup water']",Sweet and Sour Pork III
16,chinese,"['4 cups chicken broth, divided', '1/8 teaspoon ground ginger', '2 tablespoons chopped fresh chives', '1/4 teaspoon salt', '1 1/2 tablespoons cornstarch', '2 eggs', '1 egg yolk']",Restaurant Style Egg Drop Soup
17,chinese,"['1/3 cup oyster sauce', '2 teaspoons Asian (toasted) sesame oil', '1/3 cup sherry', '1 teaspoon soy sauce', '1 teaspoon white sugar', '1 teaspoon cornstarch', '3/4 pound beef round steak, cut into 1/8-inch thick strips', '3 tablespoons vegetable oil, plus more if needed', '1 thin slice of fresh ginger root', '1 clove garlic, peeled and smashed', '1 pound broccoli, cut into florets']",Restaurant Style Beef and Broccoli
18,chinese,"['2 teaspoons vegetable oil', '1 tablespoon finely chopped garlic', '1/2 teaspoon grated fresh ginger root', '1/2 cup soy sauce', '1/2 cup water', '2/3 cup dark brown sugar', '1 pound beef flank steak, sliced 1/4 inch thick on the diagonal', '1/4 cup cornstarch', '1 cup vegetable oil for frying', '2 bunches green onions, cut in 2-inch lengths']",Mongolian Beef and Spring Onions
19,chinese,"['1 pound beef top sirloin steak', '1/4 cup soy sauce', '2 tablespoons white sugar', '2 tablespoons cornstarch', '1/2 teaspoon ground ginger', '3 tablespoons vegetable oil, divided', '1 red onion, cut into 1-inch squares', '1 green bell pepper, cut into 1-inch squares', '2 tomatoes, cut into wedges']",Chinese Pepper Steak
20,chinese,"['2 tablespoons brown sugar', '2 teaspoons soy sauce', '1 tablespoon sesame oil (optional)', '1/4 cup vegetable oil', '3 tablespoons rice vinegar', '1 (8 ounce) package dried rice noodles', '1 head iceberg lettuce - rinsed, dried, and chopped', '4 boneless chicken breast halves, cooked and shredded', '3 green onions, chopped', '1 tablespoon sesame seeds, toasted']",Asian Chicken Salad
21,chinese,"['1/4 cup soy sauce', '4 teaspoons sesame oil', '2 tablespoons honey', '3 slices fresh ginger root', '2 cloves garlic, crushed', '4 skinless, boneless chicken breast halves']",Grilled Asian Chicken
22,chinese,"['2 tablespoons vegetable oil', '4 cloves garlic, chopped', '1/2 pound ground beef', '1/2 small head cabbage, shredded', '1 red bell pepper, cut into strips', '2 tablespoons soy sauce', '1 teaspoon cornstarch', '1/2 cup cold water', '1 teaspoon ground black pepper, or to taste', 'salt, to taste (optional)']",Black Pepper Beef and Cabbage Stir Fry
23,chinese,"['1 cup chicken broth', '1/4 teaspoon soy sauce', '1/4 teaspoon sesame oil', '1 teaspoon cornstarch (optional)', '2 teaspoons water (optional)', '1 egg, beaten', '1 drop yellow food coloring (optional)', '1 teaspoon chopped fresh chives', '1/8 teaspoon salt (optional)', '1/2 teaspoon ground white pepper (optional)']",Egg Drop Soup (Better than Restaurant Quality!)
24,chinese,"['1/4 cup soy sauce', '1 tablespoon hoisin sauce', '1 tablespoon sesame oil', '2 teaspoons white sugar', '1 tablespoon minced garlic', '1 tablespoon red pepper flakes (optional)', '1 pound beef flank steak, thinly sliced', '1 tablespoon peanut oil', '2 large green onions, thinly sliced']","Super-Simple, Super-Spicy Mongolian Beef"
25,chinese,"['3 tablespoons hoisin sauce', '2 tablespoons peanut butter', '2 teaspoons brown sugar', '3/4 teaspoon hot chile paste', '1 teaspoon grated fresh ginger', '3 tablespoons rice wine vinegar', '1 tablespoon sesame oil', '1 pound skinless, boneless chicken breast halves', '16 (3.5 inch square) wonton wrappers, shredded', '4 cups romaine lettuce - torn, washed and dried', '2 cups shredded carrots', '1 bunch green onions, chopped', '1/4 cup chopped fresh cilantro']",Chinese Chicken Salad III
26,chinese,"['1 pound flank steak, cut into bite-size pieces', '1/4 cup cornstarch', '2 teaspoons olive oil', '1 onion, thinly sliced', '1 tablespoon minced garlic', '3 large green onions, sliced diagonally into 1/2 inch pieces', '1/2 cup soy sauce', '1/2 cup water', '1/2 cup brown sugar', '1/2 teaspoon minced fresh ginger root', '1/2 cup hoisin sauce']",Slow Cooker Mongolian Beef
27,chinese,"['4 boneless skinless chicken breasts, cut into cubes', '3 tablespoons cornstarch', '1 tablespoon vegetable oil', '4 cloves garlic, minced', '5 tablespoons low-sodium soy sauce', '1 1/2 tablespoons white wine vinegar', '1/4 cup water', '1 teaspoon white sugar', '3 green onions, sliced diagonally into 1/2 inch pieces', '1/8 teaspoon cayenne pepper, or to taste']",Ten Minute Szechuan Chicken
28,chinese,"['1/2 tablespoon sesame oil', '1 onion', '1 1/2 pounds cooked, cubed chicken meat', '2 tablespoons soy sauce', '2 large carrots, diced', '2 stalks celery, chopped', '1 large red bell pepper, diced', '3/4 cup fresh pea pods, halved', '1/2 large green bell pepper, diced', '6 cups cooked white rice', '2 eggs', '1/3 cup soy sauce']",Chinese Chicken Fried Rice I
29,chinese,"['2 pounds skinless, boneless chicken breast halves - cut into bite-size pieces', '1/4 cup cornstarch', '2 eggs', '1 teaspoon salt', '1/2 teaspoon ground black pepper', '6 tablespoons all-purpose flour', '1 teaspoon baking powder', '1/2 cup vegetable oil', '4 teaspoons sesame oil', '2 tablespoons grated fresh ginger root', '1/2 cup chopped green onion', '1/2 cup water', '1/4 cup distilled white vinegar', '1/2 cup white sugar', '2 tablespoons cornstarch', '2 tablespoons soy sauce', '1/4 cup oyster sauce', '1/4 cup ketchup']",General Tao Chicken
30,chinese,"['1/2 pound boneless pork loin, coarsely chopped', '2 ounces peeled shrimp, finely chopped', '1 teaspoon brown sugar', '1 tablespoon Chinese rice wine', '1 tablespoon light soy sauce', '1 teaspoon finely chopped green onion', '1 teaspoon chopped fresh ginger root', '24 (3.5 inch square) wonton wrappers', '3 cups chicken stock', '1/8 cup finely chopped green onion']",Wonton Soup
31,chinese,"['12 ounces boneless, skinless chicken breast halves, cut into bite-sized pieces', '1 tablespoon oyster sauce', '2 tablespoons dark soy sauce', '3 tablespoons vegetable oil', '2 cloves garlic, chopped', '1 large onion, cut into rings', '1/2 cup water', '1 teaspoon ground black pepper', '1 teaspoon white sugar', '1/2 medium head bok choy, chopped', '1 small head broccoli, chopped', '1 tablespoon cornstarch, mixed with equal parts water']",Chicken Broccoli Ca - Unieng's Style
32,chinese,"['100 (3.5 inch square) wonton wrappers', '1 3/4 pounds ground pork', '1 tablespoon minced fresh ginger root', '4 cloves garlic, minced', '2 tablespoons thinly sliced green onion', '4 tablespoons soy sauce', '3 tablespoons sesame oil', '1 egg, beaten', '5 cups finely shredded Chinese cabbage']",Pork Dumplings
33,chinese,"['2 long Chinese eggplants, cubed', '1 1/2 tablespoons soy sauce', '1 tablespoon red wine vinegar', '1 tablespoon white sugar', '1 green chile pepper, chopped', '1 teaspoon cornstarch', '1/2 teaspoon chili oil, or to taste', '2 teaspoons salt', '2 tablespoons vegetable oil']",Hot and Sour Chinese Eggplant
34,chinese,"['6 thick cut pork chops (1 inch)', '1/4 cup brown sugar', '1 teaspoon ground ginger', '1/2 cup soy sauce', '1/4 cup ketchup', '1 clove garlic, crushed', 'salt and pepper to taste']",Peking Pork Chops
35,chinese,"['1 teaspoon sesame seeds', '1 tablespoon soy sauce', '1 tablespoon cornstarch', '2 cloves garlic, minced', '1 pound beef round steak, cut into thin strips', '3/4 cup water', '2 tablespoons soy sauce', '2 1/2 teaspoons cornstarch', '1/2 teaspoon white sugar', '1 teaspoon red pepper flakes', '2 tablespoons vegetable oil, divided', '2 carrots, thinly sliced', '1 bunch green onions, cut into 2 inch pieces']",Mongolian Beef I
36,chinese,"['1/2 pound ground pork', '1/2 medium head cabbage, finely chopped', '1 green onion, finely chopped', '2 slices fresh ginger root, finely chopped', '2 water chestnuts, drained and finely chopped', '1 teaspoon salt', '1/2 teaspoon white sugar', '1 teaspoon sesame oil', '1 (14 ounce) package wonton wrappers', '5 tablespoons vegetable oil', '3/4 cup water', '1 tablespoon chili oil', '1 tablespoon soy sauce', '1 teaspoon rice vinegar']",Pot Stickers Traditional
37,chinese,"['1/2 cup soy sauce', '1 tablespoon sesame oil', '2 tablespoons brown sugar', '3 cloves garlic, crushed', '1 large red onion, chopped', 'ground black pepper to taste', '1 teaspoon red pepper flakes', '2 tablespoons sesame seeds', '2 leeks, chopped', '1 small carrot, chopped', '1 pound beef round steak, sliced paper thin']",Asian Fire Meat
38,chinese,"['2 (14.5 ounce) cans chicken broth', '1 tablespoon cornstarch', '1 egg, lightly beaten', '2 tablespoons chopped green onion']",Egg Drop Soup II
39,chinese,"['1 egg white', '1/8 teaspoon vanilla extract', '1 pinch salt', '1/4 cup unbleached all-purpose flour', '1/4 cup white sugar']",Fortune Cookies I
40,chinese,"['1/4 cup cornstarch', '1/4 tablespoon salt', 'black pepper', '12 ounces flank steak, thinly sliced', '1 quart oil for frying', '4 tablespoons soy sauce', '1 tablespoon rice vinegar', '1/2 tablespoon rice wine', '1 1/2 tablespoons honey', '7 tablespoons granulated sugar', '1/2 tablespoon chile paste', '1/4 cup water', '3 tablespoons chopped fresh ginger root', '1 tablespoon vegetable oil', '2 cloves garlic, chopped', '1/4 cup sliced onion', '1/4 cup diced red bell pepper']",Spicy Crispy Beef
41,chinese,"['8 ounces uncooked spaghetti', '1/4 cup vegetable oil', '2 cups fresh sliced mushrooms', '1 cup shredded carrots', '1/2 cup sliced red bell peppers', '1 onion, chopped', '2 cloves garlic, minced', '2 cups fresh bean sprouts', '1/2 cup chopped green onions', '1 tablespoon cornstarch', '1 cup chicken broth', '1/4 cup hoisin sauce', '2 tablespoons honey', '1 tablespoon soy sauce', '1 teaspoon grated fresh ginger', '1/4 teaspoon cayenne pepper', '1/4 teaspoon curry powder']",Vegetable Lo Mein
42,chinese,"['2 tablespoons vegetable oil', '1 pound beef sirloin, cut into 2-inch strips', '1 1/2 cups fresh broccoli florets', '1 red bell pepper, cut into matchsticks', '2 carrots, thinly sliced', '1 green onion, chopped', '1 teaspoon minced garlic', '2 tablespoons soy sauce', '2 tablespoons sesame seeds, toasted']",Quick Beef Stir-Fry
43,chinese,"['3 tablespoons canola oil', '4 Chinese eggplants, halved lengthwise and cut into 1 inch half moons', '1 cup water', '1 tablespoon crushed red pepper flakes', '3 tablespoons garlic powder', '5 teaspoons white sugar', '1 teaspoon cornstarch', '2 tablespoons light soy sauce', '2 tablespoons oyster sauce']",Eggplant with Garlic Sauce
44,chinese,"['4 teaspoons vegetable oil', '3 eggs, beaten', '1 medium head cabbage, finely shredded', '1/2 carrot, julienned', '1 (8 ounce) can shredded bamboo shoots', '1 cup dried, shredded wood ear mushroom, rehydrated', '1 pound Chinese barbequed or roasted pork, cut into matchsticks', '2 green onions, thinly sliced', '2 1/2 teaspoons soy sauce', '1 teaspoon salt', '1 teaspoon sugar', '1/2 teaspoon monosodium glutamate (MSG)', '1 (14 ounce) package egg roll wrappers', '1 egg white, beaten', '4 cups oil for frying, or as needed']",Authentic Chinese Egg Rolls (from a Chinese person)
45,chinese,"['5 dried wood ear mushrooms', '4 dried shiitake mushrooms', '8 dried tiger lily buds', '4 cups chicken stock', '1/3 cup diced bamboo shoots', '1/3 cup lean ground pork', '1 teaspoon soy sauce', '1/2 teaspoon white sugar', '1 teaspoon salt', '1/2 teaspoon ground white pepper', '2 tablespoons red wine vinegar', '2 tablespoons cornstarch', '3 tablespoons water', '1/2 (16 ounce) package firm tofu, cubed', '1 egg, lightly beaten', '1 teaspoon sesame oil', '2 tablespoons thinly sliced green onion']",Chinese Spicy Hot And Sour Soup
46,chinese,"['1 (1 1/4 pound) pork tenderloin, trimmed of silver skin', 'salt and ground black pepper', '1/3 cup ketchup', '1/3 cup seasoned rice vinegar', '1 (8 ounce) can pineapple chunks, drained with juice reserved', '2 tablespoons brown sugar', '4 cloves garlic, minced', '2 teaspoons hot chili sauce (such as Sriracha®)', '1 teaspoon soy sauce', '1 pinch red pepper flakes', '1 tablespoon vegetable oil', '1 teaspoon butter', '1/4 cup chopped green onion (white part only)', '2 tablespoons chopped green onion tops']",Sweet and Sour Pork Tenderloin
47,chinese,"['1 (1 1/2 pound) eggplant', '4 tablespoons soy sauce', '1/4 cup chicken stock', '1 teaspoon chili sauce', '1 teaspoon white sugar', '1/2 teaspoon ground black pepper', '2 tablespoons oyster sauce (optional)', '1 tablespoon cornstarch', '4 tablespoons water', '2 cloves garlic, minced', '4 large green onions, finely chopped', '1 tablespoon chopped fresh ginger root', '1/4 pound fresh shrimp - peeled, deveined, and diced', '1/3 pound lean ground beef', '1 tablespoon sesame oil', '4 cups hot cooked rice']",Szechuan Spicy Eggplant
48,chinese,"['1 pound lean ground beef', '1 onion, thinly sliced', '1/2 teaspoon dried minced garlic', '2 tablespoons soy sauce', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper', '2 tablespoons sherry', '1 teaspoon ground ginger', '1 large head cabbage, finely shredded', '1/4 cup water', '1 tablespoon vegetable oil', '1 teaspoon white sugar', '2 tablespoons soy sauce', '2 tablespoons sherry', '1/2 teaspoon salt', '1/2 teaspoon ground black pepper', '2 quarts vegetable oil for deep frying', '1 (16 ounce) package egg roll wrappers']",Beef Egg Rolls
49,chinese,"[""1 cup confectioners' sugar"", '3 cups all-purpose flour', '1 cup butter', '1 egg, beaten', '1 dash vanilla extract', '2/3 cup white sugar', '1 1/2 cups water', '9 eggs, beaten', '1 dash vanilla extract', '1 cup evaporated milk']",Hong Kong Style Egg Tarts
50,chinese,"['1 tablespoon active dry yeast', '1 teaspoon white sugar', '1/4 cup all-purpose flour', '1/4 cup water', '1/2 cup warm water', '1 1/2 cups all-purpose flour', '1/4 teaspoon salt', '2 tablespoons white sugar', '1 tablespoon vegetable oil', '1/2 teaspoon baking powder']",Chinese Steamed Buns
51,chinese,"['2 3/4 cups sifted all-purpose flour', '1 cup white sugar', '1/2 teaspoon baking soda', '1/2 teaspoon salt', '1 cup lard', '1 egg', '1 teaspoon almond extract', '48 almonds']",Chinese Restaurant Almond Cookies
52,chinese,"['2 (3 ounce) packages Oriental flavored ramen noodles', '3 eggs, beaten', 'vegetable oil', '4 green onions, thinly sliced', '1 small carrot, peeled and grated', '1/2 cup green peas', '1/4 cup red bell pepper, minced', '2 tablespoons sesame oil', 'soy sauce']",Chinese Fried Noodles
53,chinese,"['3 pounds boneless chicken breasts, cut into 2-inch pieces', '1 tablespoon dry sherry', '1 tablespoon soy sauce', '1/2 teaspoon salt', '2 eggs', '2 cups vegetable oil', '1/4 cup cornstarch', '1/2 teaspoon baking powder', '1/3 cup white sugar', '1 tablespoon cornstarch', '1 cup chicken broth', '1 tablespoon lemon juice', '1 teaspoon salt', '1 lemon, sliced', '2 tablespoons vegetable oil']",Lemon Chicken II
54,chinese,"['1 pound sirloin steak, cut into bite size strips', '1 tablespoon soy sauce', '2 teaspoons cornstarch', '1/4 teaspoon crushed red pepper', '1 clove garlic, minced', '2 tablespoons vegetable oil', '3 cups fresh broccoli florets', '2 small onions, cut into wedges', '1 (8 ounce) can water chestnuts, drained', '1/4 cup chicken broth', '1/2 cup peanuts']",Szechuan Beef
55,chinese,"['2 tablespoons vegetable oil', '1/2 inch piece fresh ginger root, thinly sliced', '1/4 pound thinly sliced lean pork', '1 teaspoon soy sauce', '1/2 teaspoon dark soy sauce', '1/2 teaspoon salt', '1/3 teaspoon sugar', '1 teaspoon sesame oil', '1 green onion, chopped', '1 tablespoon Chinese rice wine']",Stir-Fry Pork with Ginger
56,chinese,"['1 cup uncooked white rice', '2 cups water', '2 tablespoons sesame oil', '3 green onions, thinly sliced including tops', '1 cup diced ham', '1/2 cup peas', '1 (8 ounce) can pineapple chunks, drained', '1 egg, beaten', '1 tablespoon white sugar', '1 teaspoon salt', '1/2 teaspoon white pepper', '1/2 teaspoon garlic powder', '1/4 cup soy sauce']",Pineapple Fried Rice II
57,chinese,"['8 cubes chicken bouillon', '6 cups hot water', '2 tablespoons cornstarch', '2 tablespoons soy sauce', '3 tablespoons distilled white vinegar', '1 green onion, minced', '3 eggs, beaten']",Chi Tan T'ang (Egg Drop Soup)
58,chinese,"['1/4 cup butter', '2 (3 ounce) packages Oriental-flavor ramen noodle soup, seasoning packet reserved', '1/2 cup slivered almonds', '1/4 cup sesame seeds', '1 (16 ounce) package broccoli coleslaw mix', '1/2 cup chopped green onion', '1/2 cup salad oil', '1/4 cup apple cider vinegar', '1/2 cup white sugar', '2 tablespoons soy sauce']",Chinese Broccoli Slaw
59,chinese,"['4 cups water', '4 cubes chicken bouillon', '2 eggs', '1 teaspoon dried parsley', '1 tablespoon dried minced onion', '1 tablespoon cornstarch']",Egg Drop Soup I
60,chinese,"['1 (14 ounce) package small won ton wrappers', '2 (8 ounce) packages cream cheese, softened', '1 teaspoon minced fresh ginger root', '1/2 teaspoon chopped fresh cilantro', '1/2 teaspoon dried parsley', '3 tablespoons dark soy sauce', '1 pound crabmeat, shredded', '1 quart oil for frying']",Crab Rangoon I
61,chinese,"['1 (8 ounce) package dried rice noodles', '2 tablespoons vegetable oil', '1 clove garlic, minced', '1 tablespoon soy sauce', '1/2 tablespoon chili sauce', 'salt and pepper to taste', '1 green onion, chopped']",Quick Chinese-Style Vermicelli (Rice Noodles)
62,chinese,"['2 teaspoons vegetable oil', '4 skinless, boneless chicken breast halves - cut into 1 inch pieces', '1 1/2 cups distilled white vinegar', '1 cup white sugar', '1/2 cup soy sauce', '1 tablespoon red pepper flakes, or to taste', '2 tablespoons garlic powder, or to taste', '1 tablespoon onion powder, or to taste', '1/2 teaspoon ground ginger', '1 (8 ounce) package button mushrooms, sliced', '1 cup frozen green peas', '3 green onions, chopped', '3 teaspoons cornstarch', '2 tablespoons cold water']",Chicken Vicious
63,chinese,"['1 cup white sugar', '1/4 cup cornstarch', '1 cup chicken broth', '1/2 cup water', '1/8 cup white vinegar', '2 tablespoons dark soy sauce', '2 tablespoons sesame oil', '1 teaspoon chile paste', '1 clove garlic, minced']",Chinese Style Sesame Sauce
64,chinese,"['2 pounds boneless sirloin tip roast', '1/2 cup soy sauce', '2 tablespoons dry sherry', '2 teaspoons sesame oil', '3 tablespoons cornstarch', '2 tablespoons brown sugar', '2 teaspoons crushed red pepper', '5 whole dried red chile peppers', '3/8 cup vegetable oil, divided', '4 bunches green onions, cut into 2 inch pieces']",Mongolian Beef II
65,chinese,"['12 ounces dry Chinese noodles', '3 tablespoons soy sauce', '3/4 cup sweet chili sauce', '1/2 teaspoon garlic powder', '1/4 teaspoon ground ginger', '3 tablespoons sesame oil', '1/2 cup soy sauce', '1/2 teaspoon garlic powder', '1 (1 pound) pork loin, cut into 2-inch strips', '2 tablespoons cooking oil', '2 onions, cut into bite-size pieces', '1/8 teaspoon crushed red pepper flakes', '3 tablespoons sweet chili sauce', '3 cups chopped napa cabbage', '3/4 cup sliced celery', '1 cup sliced carrots', '3 red bell peppers, chopped', '2 teaspoons cornstarch', '1/4 cup cold water']",Sweet and Spicy Pork and Napa Cabbage Stir-Fry with Spicy Noodles
66,chinese,"['1 1/2 teaspoons cornstarch', '2 teaspoons cooking sherry', '1 pound medium shrimp - peeled and deveined', '4 tablespoons vegetable oil', '2 cloves garlic, minced', '1/4 pound ground pork', '1 cup water', '2 tablespoons soy sauce', '1/4 teaspoon sugar', '1/2 teaspoon salt', '1 1/2 tablespoons cornstarch', '1/4 cup cold water', '1 egg, beaten']",Shrimp with Lobster Sauce
67,chinese,"['1/2 cup soy sauce', '1 tablespoon seasoned rice vinegar', '1 tablespoon finely chopped Chinese chives', '1 tablespoon sesame seeds', '1 teaspoon chile-garlic sauce (such as Sriracha®)', '1 pound ground pork', '3 cloves garlic, minced', '1 egg, beaten', '2 tablespoons finely chopped Chinese chives', '2 tablespoons soy sauce', '1 1/2 tablespoons sesame oil', '1 tablespoon minced fresh ginger', '50 dumpling wrappers', '1 cup vegetable oil for frying', '1 quart water, or more as needed']",Chinese Pork Dumplings
68,chinese,"['3/4 pound boneless tender beef steak, rib eye, sirloin or flank', '1 tablespoon cornstarch', '3 tablespoons Kikkoman Soy Sauce, divided', '1 large clove garlic, minced', '1/2 teaspoon sugar', '1 pound fresh broccoli, trimmed', '4 teaspoons cornstarch', '1/2 teaspoon crushed red pepper', '3 tablespoons vegetable oil, divided', '1 medium onion, thinly sliced', '2 teaspoons Kikkoman Seasoned Rice Vinegar']",Hot and Tangy Broccoli Beef
69,chinese,"['4 skinless, boneless chicken breasts', '1 tablespoon vegetable oil', '1/2 cup sliced onion', '2 cups broccoli florets', '2 carrots, julienned', '2 cups snow peas', '4 cups dry Chinese noodles', '1/4 cup teriyaki sauce']",Chinese Noodle Chicken
70,chinese,"['2 cups brown rice', '4 cups water', '2 tablespoons cornstarch', '2 teaspoons white sugar', '6 tablespoons soy sauce', '1/4 cup white wine', '1 tablespoon minced fresh ginger', '1 pound boneless beef round steak, cut into thin strips', '1 tablespoon vegetable oil', '3 cups broccoli florets', '2 carrots, thinly sliced', '1 (6 ounce) package frozen pea pods, thawed', '2 tablespoons chopped onion', '1 (8 ounce) can sliced water chestnuts, undrained', '1 cup Chinese cabbage', '2 large heads bok choy, chopped', '1 tablespoon vegetable oil']",Flavorful Beef Stir-Fry
